1,-1,0.79058
1,0,0.78128
1,1,0.77408
2,-1,0.79873
2,0,0.792
2,1,0.81853
3,-1,0.90473
3,0,0.91564
3,1,0.90878
4,-1,0.90357
4,0,0.90646
4,1,0.9049
5,-1,0.94506
5,0,0.94205
5,1,0.94603
6,-1,0.93864
6,0,0.95097
6,1,0.94532
7,-1,0.88955
7,0,0.88685
7,1,0.8863
8,-1,0.8834
8,0,0.92278
8,1,0.89392
9,-1,0.88645
9,0,0.89641
9,1,0.89702
10,-1,0.8671
10,0,0.88007
10,1,0.87552
11,-1,0.8815
11,0,0.89557
11,1,0.88323
12,-1,0.84356
12,0,0.85762
12,1,0.85261
13,-1,0.83299
13,0,0.859
13,1,0.84023
14,-1,0.88758
14,0,0.91297
14,1,0.88391
15,-1,0.89191
15,0,0.9041
15,1,0.89636
16,-1,0.83731
16,0,0.81512
16,1,0.82033
17,-1,0.8682
17,0,0.86489
17,1,0.86597
18,-1,0.88381
18,0,0.87661
18,1,0.88035
19,-1,0.8509
19,0,0.88452
19,1,0.85175
20,-1,0.84536
20,0,0.85014
20,1,0.82975
21,-1,0.90138
21,0,0.91632
21,1,0.89308
22,-1,0.87704
22,0,0.91046
22,1,0.88135
23,-1,0.90975
23,0,0.92966
23,1,0.90227
24,-1,0.82375
24,0,0.82538
24,1,0.83071
25,-1,0.79139
25,0,0.79889
25,1,0.79043
26,-1,0.87699
26,0,0.86197
26,1,0.87644
27,-1,0.84631
27,0,0.83831
27,1,0.82913
28,-1,0.88763
28,0,0.90296
28,1,0.89272
29,-1,0.92246
29,0,0.90746
29,1,0.90999
30,-1,0.72274
30,0,0.71101
30,1,0.70723
31,-1,0.88385
31,0,0.87494
31,1,0.85399
32,-1,0.78106
32,0,0.83795
32,1,0.79079
33,-1,0.80721
33,0,0.82014
33,1,0.80727
34,-1,0.84075
34,0,0.87001
34,1,0.8538
35,-1,0.74505
35,0,0.78642
35,1,0.75306
36,-1,0.73837
36,0,0.75828
36,1,0.73663
37,-1,0.78178
37,0,0.7678
37,1,0.78786
38,-1,0.81516
38,0,0.82912
38,1,0.82731
39,-1,0.75029
39,0,0.75633
39,1,0.74162
40,-1,0.76578
40,0,0.77972
40,1,0.73409
41,-1,0.72519
41,0,0.75524
41,1,0.75657
42,-1,0.7027
42,0,0.69977
42,1,0.69501
43,-1,NaN
43,0,NaN
43,1,NaN
44,-1,NaN
44,0,NaN
44,1,NaN
45,-1,0.72462
45,0,0.7896
45,1,0.73259
46,-1,0.75387
46,0,0.75214
46,1,0.78858
47,-1,0.67866
47,0,0.79562
47,1,0.73275
48,-1,0.9616
48,0,0.96251
48,1,0.96134
49,-1,0.85235
49,0,0.88605
49,1,0.85819
50,-1,0.8547
50,0,0.85972
50,1,0.85237
51,-1,0.75518
51,0,0.77002
51,1,0.76582
52,-1,0.86108
52,0,0.87996
52,1,0.87123
53,-1,0.92493
53,0,0.93349
53,1,0.9238
54,-1,0.84432
54,0,0.86244
54,1,0.86495
55,-1,0.86819
55,0,0.87827
55,1,0.87612
56,-1,0.8728
56,0,0.89939
56,1,0.86278
57,-1,0.82081
57,0,0.84431
57,1,0.80226
58,-1,0.9026
58,0,0.93177
58,1,0.90926
59,-1,0.91698
59,0,0.91846
59,1,0.9068
60,-1,0.8795
60,0,0.93327
60,1,0.89006
61,-1,0.91545
61,0,0.9511
61,1,0.92437
62,-1,0.77657
62,0,0.80315
62,1,0.77885
63,-1,0.92679
63,0,0.92682
63,1,0.94268
64,-1,NaN
64,0,NaN
64,1,NaN
65,-1,NaN
65,0,NaN
65,1,NaN
66,-1,NaN
66,0,NaN
66,1,NaN
67,-1,0.84379
67,0,0.83266
67,1,0.83239
68,-1,0.91545
68,0,0.92288
68,1,0.9127
69,-1,0.89244
69,0,0.89818
69,1,0.89972
