Unit,Mu,Sigma,Tau,Peak,rho
9,0.618323914471588,0.001,0.246152393074816,0.00648324260700993,0.672246042035307
10,1.02355031030242,0.001,20,-0.00249763212208046,0.99973997985102
11,0.0962611085028171,0.377573569436995,0.0105119498269715,0.313373362233546,0.995049488047714
16,0.401944411806964,0.001,11.7591178004178,-0.00142522042987769,0.99951489497927
17,0.0792173179023585,0.001,0.362564561313166,0.00214952704154186,0.866983613543377
28,0.30229320034139,0.30442030368721,0.292099334851519,0.00422553887341097,0.779013766622532
32,0.469028080853169,0.00100008535355158,0.080520276313818,-0.0044194564435727,0.999212498667832
35,0.184473009385842,0.0642846369221736,0.197956745174504,0.0135246265335173,0.86946917800981
36,0.239564798016959,0.00100000432667608,0.089834591928081,0.00632852029282212,0.563748743049039
37,0.307206285394172,0.485714221511747,0.0135461256402259,0.186478708296106,0.845392688553328
38,0.492260933395811,0.00110634215324693,10.6573593264142,-0.00361178189835047,0.999979454262535
41,0.159390911164766,0.425377268859894,0.0119216138401314,0.239873679135849,0.997505047365313
42,0.212633351631524,0.0316477264021162,0.315324865756314,0.0137425433874798,0.99227594275978
43,0.170089983409351,0.001,0.457424355871499,0.0063160583386076,0.880989578714498
46,0.177632050765474,0.001,0.415752898859671,0.00377503609311462,0.749055090005834
47,8.99071522724171e-05,0.385368424320345,6.64421386422677,0.0190537794776765,0.872634658395732
48,0.146318728081746,0.386065276637295,0.0144585461115957,0.499958055024352,0.997683436167286
60,0.103527761431082,0.0012499975571472,0.0752118670270089,0.0071611857512795,0.806333855358777
61,1.25957591023962e-07,0.321747854707404,1.20555928453419,-0.00410119993306547,0.999997871754905
62,0.163393536326056,0.00161746747979474,0.0349574023229561,0.00854477757640424,0.889332056691605
66,0.104166204958446,0.0121011221008421,0.0888975716666826,0.0104337733846823,0.725057637527379
69,0.123562035924777,0.0131137525182908,0.362914776827851,0.014626711388382,0.959179148445137
70,0.157352870511225,0.00100003049049728,0.263565054703772,0.0219434455404083,0.957109897082897
71,0.181533559477369,0.00104132773863899,0.6346572998312,0.00197301089047131,0.921149276168087
76,0.115815442942466,0.0115301675670776,0.274084271659363,0.0027557923125856,0.752609944708347
